,PCR検査,,,,抗原検査,（合計）,,最終更新日時,2021/7/3 17:00,,,,,
判明日,県衛環研検査,民間検査,医療機関検査,（計）,,,,,PCR検査,,,,抗原検査,（合計）
2020/2/29,36,0,0,36,0,36,,,県衛環研検査,民間検査,医療機関検査,（計）,,
2020/3/15,99,0,0,99,0,99,,累計,"14,984","80,211","39,496","134,691","60,251","194,942"
2020/3/16,7,0,0,7,0,7,,,,,,,,
2020/3/17,19,0,0,19,0,19,,,,,,,,
2020/3/18,8,2,0,10,0,10,,,,,,,,
2020/3/19,16,1,0,17,0,17,,,,,,,,
2020/3/20,9,1,0,10,0,10,,,,,,,,
2020/3/21,8,0,0,8,0,8,,,,,,,,
2020/3/22,0,0,0,0,0,0,,,,,,,,
2020/3/23,7,1,0,8,0,8,,,,,,,,
2020/3/24,10,0,0,10,0,10,,,,,,,,
2020/3/25,11,30,0,41,0,41,,,,,,,,
2020/3/26,10,56,0,66,0,66,,,,,,,,
2020/3/27,7,91,2,100,0,100,,,,,,,,
2020/3/28,13,0,1,14,0,14,,,,,,,,
2020/3/29,23,0,0,23,0,23,,,,,,,,
2020/3/30,6,65,0,71,0,71,,,,,,,,
2020/3/31,91,63,3,157,0,157,,,,,,,,
2020/4/1,90,126,3,219,0,219,,,,,,,,
2020/4/2,71,191,0,262,0,262,,,,,,,,
2020/4/3,55,107,4,166,0,166,,,,,,,,
2020/4/4,11,5,1,17,0,17,,,,,,,,
2020/4/5,0,0,0,0,0,0,,,,,,,,
2020/4/6,18,18,2,38,0,38,,,,,,,,
2020/4/7,25,20,0,45,0,45,,,,,,,,
2020/4/8,17,8,6,31,0,31,,,,,,,,
2020/4/9,16,21,0,37,0,37,,,,,,,,
2020/4/10,33,17,4,54,0,54,,,,,,,,
2020/4/11,107,0,1,108,0,108,,,,,,,,
2020/4/12,24,5,1,30,0,30,,,,,,,,
2020/4/13,20,14,0,34,0,34,,,,,,,,
2020/4/14,69,17,1,87,0,87,,,,,,,,
2020/4/15,59,15,3,77,0,77,,,,,,,,
2020/4/16,34,19,3,56,0,56,,,,,,,,
2020/4/17,53,20,4,77,0,77,,,,,,,,
2020/4/18,39,5,0,44,0,44,,,,,,,,
2020/4/19,17,4,0,21,0,21,,,,,,,,
2020/4/20,7,26,4,37,0,37,,,,,,,,
2020/4/21,53,15,3,71,0,71,,,,,,,,
2020/4/22,97,8,7,112,0,112,,,,,,,,
2020/4/23,69,6,3,78,0,78,,,,,,,,
2020/4/24,43,15,6,64,0,64,,,,,,,,
2020/4/25,37,5,0,42,0,42,,,,,,,,
2020/4/26,18,1,0,19,0,19,,,,,,,,
2020/4/27,68,15,8,91,0,91,,,,,,,,
2020/4/28,45,10,5,60,0,60,,,,,,,,
2020/4/29,34,0,0,34,0,34,,,,,,,,
2020/4/30,6,14,2,22,0,22,,,,,,,,
2020/5/1,38,14,5,57,0,57,,,,,,,,
2020/5/2,32,0,1,33,0,33,,,,,,,,
2020/5/3,29,0,2,31,0,31,,,,,,,,
2020/5/4,17,0,0,17,0,17,,,,,,,,
2020/5/5,21,5,3,29,0,29,,,,,,,,
2020/5/6,15,4,1,20,0,20,,,,,,,,
2020/5/7,11,23,3,37,0,37,,,,,,,,
2020/5/8,25,10,7,42,0,42,,,,,,,,
2020/5/9,43,1,0,44,0,44,,,,,,,,
2020/5/10,14,1,3,18,0,18,,,,,,,,
2020/5/11,6,25,1,32,0,32,,,,,,,,
2020/5/12,32,14,1,47,0,47,,,,,,,,
2020/5/13,20,17,4,41,0,41,,,,,,,,
2020/5/14,23,20,2,45,0,45,,,,,,,,
2020/5/15,19,7,5,31,0,31,,,,,,,,
2020/5/16,23,6,2,31,0,31,,,,,,,,
2020/5/17,10,0,0,10,0,10,,,,,,,,
2020/5/18,4,33,2,39,0,39,,,,,,,,
2020/5/19,15,10,0,25,0,25,,,,,,,,
2020/5/20,8,11,2,21,0,21,,,,,,,,
2020/5/21,15,12,2,29,0,29,,,,,,,,
2020/5/22,11,4,5,20,0,20,,,,,,,,
2020/5/23,13,7,0,20,0,20,,,,,,,,
2020/5/24,10,2,0,12,0,12,,,,,,,,
